Date,SP500_TR,CAC40_TR,WGBI_TR
2000-06-01,2003.449951171875,9414.2099609375,31843.40095512492
2000-07-01,2033.5799560546875,9348.98046875,32385.50341397956
2000-08-01,1991.4300537109373,9385.830078125,33497.562852744995
2000-09-01,2108.760009765625,9790.1103515625,33681.56253700122
2000-10-01,1992.93994140625,9124.08984375,34623.02166791649
2000-11-01,1973.719970703125,9209.9697265625,34381.576350791336
2000-12-01,1828.81005859375,8520.58984375,33019.23076923077
2001-01-01,1785.8599853515625,8334.3203125,33292.72407940956
2001-02-01,1913.1099853515625,8479.2197265625,33656.539842917475
2001-03-01,1730.9200439453125,7676.72998046875,34002.002999565855
2001-04-01,1599.3599853515625,7489.419921875,33781.88025417374
2001-05-01,1769.1199951171875,8022.5498046875,35229.39771875123
2001-06-01,1763.8699951171875,7909.669921875,34948.22788806883
2001-07-01,1731.530029296875,7769.2998046875,34666.85085053479
2001-08-01,1704.239990234375,7500.68017578125,34647.847022141534
2001-09-01,1590.2900390625,6792.52978515625,34813.16848877136
2001-10-01,1459.3299560546875,5875.2099609375,35477.97687176856
2001-11-01,1524.9599609375,6406.81005859375,35186.56510241938
2001-12-01,1591.47998046875,6548.97021484375,34473.09271026562
2002-01-01,1628.510009765625,6721.25,34994.997434581834
2002-02-01,1584.06005859375,6538.0498046875,35009.570983147176
2002-03-01,1600.02001953125,6583.3701171875,34617.08173816947
2002-04-01,1622.22998046875,6791.14990234375,34713.99534277933
2002-05-01,1538.6500244140625,6517.9501953125,34427.35919801082
2002-06-01,1476.260009765625,6318.93994140625,34141.80842246517
2002-07-01,1375.8800048828125,5874.89990234375,34730.66069384694
2002-08-01,1258.219970703125,4885.0400390625,35325.95611161542
2002-09-01,1250.6800537109375,4933.3798828125,35437.147255002565
2002-10-01,1209.5899658203125,4263.81005859375,35220.5667600742
2002-11-01,1287.1300048828125,4687.31982421875,35105.2413466472
2002-12-01,1337.3499755859375,4972.58984375,34952.08588230651
2003-01-01,1303.1700439453125,4817.39013671875,34635.27647314205
2003-02-01,1234.7900390625,4459.68017578125,34980.85803370565
2003-03-01,1200.5999755859375,4164.8798828125,34657.08252752891
2003-04-01,1236.300048828125,3974.110107421875,34293.296364999806
2003-05-01,1321.3900146484375,4499.9501953125,33951.45439475866
2003-06-01,1396.699951171875,4707.8701171875,34216.32395311205
2003-07-01,1421.030029296875,4689.009765625,33867.66389075266
2003-08-01,1419.6400146484375,4932.72998046875,34534.83048506137
2003-09-01,1482.6099853515625,5226.68994140625,34411.07865966768
2003-10-01,1479.22998046875,4966.009765625,34305.61037218297
2003-11-01,1540.7099609375,5352.06005859375,33829.92264277539
2003-12-01,1559.5,5431.7099609375,33426.20475983739
2004-01-01,1618.050048828125,5598.35986328125,34033.60697793741
2004-02-01,1658.7900390625,5705.259765625,34081.96511031298
2004-03-01,1691.9000244140625,5835.7900390625,34952.84564076252
2004-04-01,1659.1600341796875,5713.81982421875,34298.34826538264
2004-05-01,1639.4599609375,5795.10009765625,33926.382365710226
2004-06-01,1647.5699462890625,5787.02978515625,34121.43308205391
2004-07-01,1661.530029296875,5974.9599609375,34303.054821012745
2004-08-01,1630.47998046875,5826.3798828125,34789.39890279039
2004-09-01,1632.8199462890625,5809.39990234375,34514.29727276315
2004-10-01,1672.489990234375,5997.740234375,34693.25492362947
2004-11-01,1673.1099853515625,6004.0400390625,34394.452776571816
2004-12-01,1766.9000244140625,6123.81982421875,34197.99108023839
2005-01-01,1784.9599609375,6224.669921875,35162.598176579704
2005-02-01,1767.7900390625,6360.02001953125,34566.41472944705
2005-03-01,1802.7900390625,6546.97021484375,34841.45715751668
2005-04-01,1749.449951171875,6587.5,35611.12207443659
2005-05-01,1735.4300537109375,6377.47021484375,36474.36555235426
2005-06-01,1799.1500244140625,6875.56005859375,36869.85436318429
2005-07-01,1789.8499755859375,7054.240234375,36388.70031969057
2005-08-01,1853.1300048828125,7364.06982421875,36582.00457828472
2005-09-01,1836.3699951171875,7310.0,36595.51249161306
2005-10-01,1846.1700439453125,7637.7998046875,36169.9885542882
2005-11-01,1812.1099853515625,7327.52001953125,36295.17109365749
2005-12-01,1910.22998046875,7677.43994140625,36682.08548762679
2006-01-01,1918.9599609375,7875.5400390625,36086.29672021155
2006-02-01,1941.75,8280.4599609375,36559.56703635001
2006-03-01,1959.77001953125,8376.8798828125,35604.13624343845
2006-04-01,1971.9300537109373,8704.240234375,35014.15913486206
2006-05-01,1985.550048828125,8680.9404296875,34970.97130678455
2006-06-01,1960.280029296875,8351.7802734375,34770.70095117812
2006-07-01,1954.489990234375,8457.5400390625,35110.40178395232
2006-08-01,1942.219970703125,8404.91015625,35328.15645103998
2006-09-01,2008.469970703125,8804.4501953125,35599.23234794963
2006-10-01,2041.989990234375,8908.169921875,35659.707147649686
2006-11-01,2100.3701171875,9125.1796875,35272.26980305482
2006-12-01,2149.85009765625,8948.1796875,34794.115325413426
2007-01-01,2183.919921875,9569.41015625,34833.57343016142
2007-02-01,2231.610107421875,9645.2802734375,35062.300193393065
2007-03-01,2170.169921875,9299.5703125,34863.707226585626
2007-04-01,2205.85009765625,9618.4296875,34369.15380668588
2007-05-01,2303.679931640625,10225.7998046875,34148.537711647
2007-06-01,2386.6298828125,10707.7998046875,33817.97371433082
2007-07-01,2363.280029296875,10514.900390625,34364.10190630303
2007-08-01,2282.300048828125,9870.580078125,35078.0775150965
2007-09-01,2323.830078125,9866.7802734375,34438.88384575917
2007-10-01,2417.43994140625,10079.7998046875,34390.14090065911
2007-11-01,2360.2099609375,10007.099609375,34846.55839286419
2007-12-01,2308.739990234375,9857.66015625,34802.90681611872
2008-01-01,2273.409912109375,9721.2900390625,35643.24900343371
2008-02-01,2194.429931640625,8720.0302734375,35609.10920787781
